"","Bees","Flower_beetles","House_flies","Hoverflies","Small_flies"
"A4 LEMA 10",0.0666666666666667,0.133333333333333,0,0,0
"A4 LEMA 11",0.0666666666666667,0.133333333333333,0,0,0
"A4 LEMA 12",0.0666666666666667,0.133333333333333,0,0,0
"A4 LEMA 13",0.0666666666666667,0.133333333333333,0,0,0
"A4 LEMA 14",0.0666666666666667,0.133333333333333,0,0,0
"A4 LEMA 15",0.0666666666666667,0.133333333333333,0,0,0
"A4 LEMA 2",0.0666666666666667,0.133333333333333,0,0,0
"A4 LEMA 3",0.0666666666666667,0.133333333333333,0,0,0
"A4 LEMA 4",0.0666666666666667,0.133333333333333,0,0,0
"A4 LEMA 5",0.0666666666666667,0.133333333333333,0,0,0
"A4 LEMA 6",0.0666666666666667,0.133333333333333,0,0,0
"A4 LEMA 7",0.0666666666666667,0.133333333333333,0,0,0
"A4 LEMA 8",0.0666666666666667,0.133333333333333,0,0,0
"A4 LEMA 9",0.0666666666666667,0.133333333333333,0,0,0
"A5 LEMA 1",0,0,0,0,0.0333333333333333
"A5 LEMA 10",0,0,0,0,0.0333333333333333
"A5 LEMA 11",0,0,0,0,0.0333333333333333
"A5 LEMA 12",0,0,0,0,0.0333333333333333
"A5 LEMA 13",0,0,0,0,0.0333333333333333
"A5 LEMA 14",0,0,0,0,0.0333333333333333
"A5 LEMA 15",0,0,0,0,0.0333333333333333
"A5 LEMA 16",0,0,0,0,0.0333333333333333
"A5 LEMA 17",0,0,0,0,0.0333333333333333
"A5 LEMA 18",0,0,0,0,0.0333333333333333
"A5 LEMA 19",0,0,0,0,0.0333333333333333
"A5 LEMA 2",0,0,0,0,0.0333333333333333
"A5 LEMA 20",0,0,0,0,0.0333333333333333
"A5 LEMA 21",0,0,0,0,0.0333333333333333
"A5 LEMA 22",0,0,0,0,0.0333333333333333
"A5 LEMA 23",0,0,0,0,0.0333333333333333
"A5 LEMA 24",0,0,0,0,0.0333333333333333
"A5 LEMA 25",0,0,0,0,0.0333333333333333
"A5 LEMA 26",0,0,0,0,0.0333333333333333
"A5 LEMA 27",0,0,0,0,0.0333333333333333
"A5 LEMA 28",0,0,0,0,0.0333333333333333
"A5 LEMA 29",0,0,0,0,0.0333333333333333
"A5 LEMA 3",0,0,0,0,0.0333333333333333
"A5 LEMA 30",0,0,0,0,0.0333333333333333
"A5 LEMA 4",0,0,0,0,0.0333333333333333
"A5 LEMA 5",0,0,0,0,0.0333333333333333
"A5 LEMA 6",0,0,0,0,0.0333333333333333
"A5 LEMA 7",0,0,0,0,0.0333333333333333
"A5 LEMA 8",0,0,0,0,0.0333333333333333
"A5 LEMA 9",0,0,0,0,0.0333333333333333
"A6 LEMA 1",0,0.333333333333333,0,0,0.166666666666667
"A6 LEMA 2",0,0.333333333333333,0,0,0.166666666666667
"A6 LEMA 3",0,0.333333333333333,0,0,0.166666666666667
"A6 LEMA 4",0,0.333333333333333,0,0,0.166666666666667
"A6 LEMA 5",0,0.333333333333333,0,0,0.166666666666667
"A6 LEMA 6",0,0.333333333333333,0,0,0.166666666666667
"B1 LEMA 1",0,0.1,0,0.1,0
"B1 LEMA 10",0,0.1,0,0.1,0
"B1 LEMA 2",0,0.1,0,0.1,0
"B1 LEMA 3",0,0.1,0,0.1,0
"B1 LEMA 4",0,0.1,0,0.1,0
"B1 LEMA 5",0,0.1,0,0.1,0
"B1 LEMA 6",0,0.1,0,0.1,0
"B1 LEMA 7",0,0.1,0,0.1,0
"B1 LEMA 8",0,0.1,0,0.1,0
"B1 LEMA 9",0,0.1,0,0.1,0
"B2 LEMA 1",0,0.0666666666666667,0,0.0333333333333333,0.0333333333333333
"B2 LEMA 10",0,0.0666666666666667,0,0.0333333333333333,0.0333333333333333
"B2 LEMA 11",0,0.0666666666666667,0,0.0333333333333333,0.0333333333333333
"B2 LEMA 12",0,0.0666666666666667,0,0.0333333333333333,0.0333333333333333
"B2 LEMA 13",0,0.0666666666666667,0,0.0333333333333333,0.0333333333333333
"B2 LEMA 14",0,0.0666666666666667,0,0.0333333333333333,0.0333333333333333
"B2 LEMA 15",0,0.0666666666666667,0,0.0333333333333333,0.0333333333333333
"B2 LEMA 16",0,0.0666666666666667,0,0.0333333333333333,0.0333333333333333
"B2 LEMA 17",0,0.0666666666666667,0,0.0333333333333333,0.0333333333333333
"B2 LEMA 18",0,0.0666666666666667,0,0.0333333333333333,0.0333333333333333
"B2 LEMA 19",0,0.0666666666666667,0,0.0333333333333333,0.0333333333333333
"B2 LEMA 2",0,0.0666666666666667,0,0.0333333333333333,0.0333333333333333
"B2 LEMA 20",0,0.0666666666666667,0,0.0333333333333333,0.0333333333333333
"B2 LEMA 21",0,0.0666666666666667,0,0.0333333333333333,0.0333333333333333
"B2 LEMA 22",0,0.0666666666666667,0,0.0333333333333333,0.0333333333333333
"B2 LEMA 23",0,0.0666666666666667,0,0.0333333333333333,0.0333333333333333
"B2 LEMA 24",0,0.0666666666666667,0,0.0333333333333333,0.0333333333333333
"B2 LEMA 25",0,0.0666666666666667,0,0.0333333333333333,0.0333333333333333
"B2 LEMA 26",0,0.0666666666666667,0,0.0333333333333333,0.0333333333333333
"B2 LEMA 27",0,0.0666666666666667,0,0.0333333333333333,0.0333333333333333
"B2 LEMA 28",0,0.0666666666666667,0,0.0333333333333333,0.0333333333333333
"B2 LEMA 29",0,0.0666666666666667,0,0.0333333333333333,0.0333333333333333
"B2 LEMA 3",0,0.0666666666666667,0,0.0333333333333333,0.0333333333333333
"B2 LEMA 30",0,0.0666666666666667,0,0.0333333333333333,0.0333333333333333
"B2 LEMA 4",0,0.0666666666666667,0,0.0333333333333333,0.0333333333333333
"B2 LEMA 5",0,0.0666666666666667,0,0.0333333333333333,0.0333333333333333
"B2 LEMA 6",0,0.0666666666666667,0,0.0333333333333333,0.0333333333333333
"B2 LEMA 7",0,0.0666666666666667,0,0.0333333333333333,0.0333333333333333
"B2 LEMA 8",0,0.0666666666666667,0,0.0333333333333333,0.0333333333333333
"B2 LEMA 9",0,0.0666666666666667,0,0.0333333333333333,0.0333333333333333
"B5 LEMA 1",0,0.0333333333333333,0,0,0
"B5 LEMA 10",0,0.0333333333333333,0,0,0
"B5 LEMA 11",0,0.0333333333333333,0,0,0
"B5 LEMA 12",0,0.0333333333333333,0,0,0
"B5 LEMA 13",0,0.0333333333333333,0,0,0
"B5 LEMA 14",0,0.0333333333333333,0,0,0
"B5 LEMA 15",0,0.0333333333333333,0,0,0
"B5 LEMA 16",0,0.0333333333333333,0,0,0
"B5 LEMA 17",0,0.0333333333333333,0,0,0
"B5 LEMA 18",0,0.0333333333333333,0,0,0
"B5 LEMA 19",0,0.0333333333333333,0,0,0
"B5 LEMA 2",0,0.0333333333333333,0,0,0
"B5 LEMA 20",0,0.0333333333333333,0,0,0
"B5 LEMA 21",0,0.0333333333333333,0,0,0
"B5 LEMA 22",0,0.0333333333333333,0,0,0
"B5 LEMA 23",0,0.0333333333333333,0,0,0
"B5 LEMA 24",0,0.0333333333333333,0,0,0
"B5 LEMA 25",0,0.0333333333333333,0,0,0
"B5 LEMA 26",0,0.0333333333333333,0,0,0
"B5 LEMA 27",0,0.0333333333333333,0,0,0
"B5 LEMA 28",0,0.0333333333333333,0,0,0
"B5 LEMA 29",0,0.0333333333333333,0,0,0
"B5 LEMA 3",0,0.0333333333333333,0,0,0
"B5 LEMA 30",0,0.0333333333333333,0,0,0
"B5 LEMA 4",0,0.0333333333333333,0,0,0
"B5 LEMA 5",0,0.0333333333333333,0,0,0
"B5 LEMA 6",0,0.0333333333333333,0,0,0
"B5 LEMA 7",0,0.0333333333333333,0,0,0
"B5 LEMA 8",0,0.0333333333333333,0,0,0
"B5 LEMA 9",0,0.0333333333333333,0,0,0
"C1 LEMA 1",0,0.0833333333333333,0.0833333333333333,0,0
"C1 LEMA 10",0,0.0833333333333333,0.0833333333333333,0,0
"C1 LEMA 11",0,0.0833333333333333,0.0833333333333333,0,0
"C1 LEMA 12",0,0.0833333333333333,0.0833333333333333,0,0
"C1 LEMA 2",0,0.0833333333333333,0.0833333333333333,0,0
"C1 LEMA 3",0,0.0833333333333333,0.0833333333333333,0,0
"C1 LEMA 4",0,0.0833333333333333,0.0833333333333333,0,0
"C1 LEMA 5",0,0.0833333333333333,0.0833333333333333,0,0
"C1 LEMA 6",0,0.0833333333333333,0.0833333333333333,0,0
"C1 LEMA 7",0,0.0833333333333333,0.0833333333333333,0,0
"C1 LEMA 8",0,0.0833333333333333,0.0833333333333333,0,0
"C1 LEMA 9",0,0.0833333333333333,0.0833333333333333,0,0
"C2 LEMA 1",0,0,0,0,0.04
"C2 LEMA 10",0,0,0,0,0.04
"C2 LEMA 11",0,0,0,0,0.04
"C2 LEMA 12",0,0,0,0,0.04
"C2 LEMA 13",0,0,0,0,0.04
"C2 LEMA 14",0,0,0,0,0.04
"C2 LEMA 15",0,0,0,0,0.04
"C2 LEMA 16",0,0,0,0,0.04
"C2 LEMA 17",0,0,0,0,0.04
"C2 LEMA 18",0,0,0,0,0.04
"C2 LEMA 19",0,0,0,0,0.04
"C2 LEMA 2",0,0,0,0,0.04
"C2 LEMA 20",0,0,0,0,0.04
"C2 LEMA 21",0,0,0,0,0.04
"C2 LEMA 22",0,0,0,0,0.04
"C2 LEMA 23",0,0,0,0,0.04
"C2 LEMA 24",0,0,0,0,0.04
"C2 LEMA 25",0,0,0,0,0.04
"C2 LEMA 3",0,0,0,0,0.04
"C2 LEMA 4",0,0,0,0,0.04
"C2 LEMA 5",0,0,0,0,0.04
"C2 LEMA 6",0,0,0,0,0.04
"C2 LEMA 7",0,0,0,0,0.04
"C2 LEMA 8",0,0,0,0,0.04
"C2 LEMA 9",0,0,0,0,0.04
"C3 LEMA 1",0,0.0909090909090909,0,0,0.0909090909090909
"C3 LEMA 10",0,0.0909090909090909,0,0,0.0909090909090909
"C3 LEMA 11",0,0.0909090909090909,0,0,0.0909090909090909
"C3 LEMA 2",0,0.0909090909090909,0,0,0.0909090909090909
"C3 LEMA 3",0,0.0909090909090909,0,0,0.0909090909090909
"C3 LEMA 4",0,0.0909090909090909,0,0,0.0909090909090909
"C3 LEMA 5",0,0.0909090909090909,0,0,0.0909090909090909
"C3 LEMA 6",0,0.0909090909090909,0,0,0.0909090909090909
"C3 LEMA 7",0,0.0909090909090909,0,0,0.0909090909090909
"C3 LEMA 8",0,0.0909090909090909,0,0,0.0909090909090909
"C3 LEMA 9",0,0.0909090909090909,0,0,0.0909090909090909
"C4 LEMA 1",0.08,0.08,0,0,0
"C4 LEMA 10",0.08,0.08,0,0,0
"C4 LEMA 11",0.08,0.08,0,0,0
"C4 LEMA 12",0.08,0.08,0,0,0
"C4 LEMA 13",0.08,0.08,0,0,0
"C4 LEMA 14",0.08,0.08,0,0,0
"C4 LEMA 15",0.08,0.08,0,0,0
"C4 LEMA 16",0.08,0.08,0,0,0
"C4 LEMA 17",0.08,0.08,0,0,0
"C4 LEMA 18",0.08,0.08,0,0,0
"C4 LEMA 19",0.08,0.08,0,0,0
"C4 LEMA 2",0.08,0.08,0,0,0
"C4 LEMA 20",0.08,0.08,0,0,0
"C4 LEMA 21",0.08,0.08,0,0,0
"C4 LEMA 22",0.08,0.08,0,0,0
"C4 LEMA 23",0.08,0.08,0,0,0
"C4 LEMA 24",0.08,0.08,0,0,0
"C4 LEMA 25",0.08,0.08,0,0,0
"C4 LEMA 3",0.08,0.08,0,0,0
"C4 LEMA 4",0.08,0.08,0,0,0
"C4 LEMA 5",0.08,0.08,0,0,0
"C4 LEMA 6",0.08,0.08,0,0,0
"C4 LEMA 7",0.08,0.08,0,0,0
"C4 LEMA 8",0.08,0.08,0,0,0
"C4 LEMA 9",0.08,0.08,0,0,0
"C5 LEMA 1",0,0,0,0.0666666666666667,0.0666666666666667
"C5 LEMA 10",0,0,0,0.0666666666666667,0.0666666666666667
"C5 LEMA 11",0,0,0,0.0666666666666667,0.0666666666666667
"C5 LEMA 12",0,0,0,0.0666666666666667,0.0666666666666667
"C5 LEMA 13",0,0,0,0.0666666666666667,0.0666666666666667
"C5 LEMA 14",0,0,0,0.0666666666666667,0.0666666666666667
"C5 LEMA 15",0,0,0,0.0666666666666667,0.0666666666666667
"C5 LEMA 2",0,0,0,0.0666666666666667,0.0666666666666667
"C5 LEMA 3",0,0,0,0.0666666666666667,0.0666666666666667
"C5 LEMA 4",0,0,0,0.0666666666666667,0.0666666666666667
"C5 LEMA 5",0,0,0,0.0666666666666667,0.0666666666666667
"C5 LEMA 6",0,0,0,0.0666666666666667,0.0666666666666667
"C5 LEMA 7",0,0,0,0.0666666666666667,0.0666666666666667
"C5 LEMA 8",0,0,0,0.0666666666666667,0.0666666666666667
"C5 LEMA 9",0,0,0,0.0666666666666667,0.0666666666666667
"D1 LEMA 1",0,0.08,0,0,0
"D1 LEMA 10",0,0.08,0,0,0
"D1 LEMA 11",0,0.08,0,0,0
"D1 LEMA 12",0,0.08,0,0,0
"D1 LEMA 13",0,0.08,0,0,0
"D1 LEMA 14",0,0.08,0,0,0
"D1 LEMA 15",0,0.08,0,0,0
"D1 LEMA 16",0,0.08,0,0,0
"D1 LEMA 17",0,0.08,0,0,0
"D1 LEMA 18",0,0.08,0,0,0
"D1 LEMA 19",0,0.08,0,0,0
"D1 LEMA 2",0,0.08,0,0,0
"D1 LEMA 20",0,0.08,0,0,0
"D1 LEMA 21",0,0.08,0,0,0
"D1 LEMA 22",0,0.08,0,0,0
"D1 LEMA 23",0,0.08,0,0,0
"D1 LEMA 24",0,0.08,0,0,0
"D1 LEMA 25",0,0.08,0,0,0
"D1 LEMA 3",0,0.08,0,0,0
"D1 LEMA 4",0,0.08,0,0,0
"D1 LEMA 5",0,0.08,0,0,0
"D1 LEMA 6",0,0.08,0,0,0
"D1 LEMA 7",0,0.08,0,0,0
"D1 LEMA 8",0,0.08,0,0,0
"D1 LEMA 9",0,0.08,0,0,0
"D2 LEMA 1",0,0.0285714285714286,0,0,0
"D2 LEMA 10",0,0.0285714285714286,0,0,0
"D2 LEMA 11",0,0.0285714285714286,0,0,0
"D2 LEMA 12",0,0.0285714285714286,0,0,0
"D2 LEMA 13",0,0.0285714285714286,0,0,0
"D2 LEMA 14",0,0.0285714285714286,0,0,0
"D2 LEMA 15",0,0.0285714285714286,0,0,0
"D2 LEMA 16",0,0.0285714285714286,0,0,0
"D2 LEMA 17",0,0.0285714285714286,0,0,0
"D2 LEMA 18",0,0.0285714285714286,0,0,0
"D2 LEMA 19",0,0.0285714285714286,0,0,0
"D2 LEMA 2",0,0.0285714285714286,0,0,0
"D2 LEMA 20",0,0.0285714285714286,0,0,0
"D2 LEMA 21",0,0.0285714285714286,0,0,0
"D2 LEMA 22",0,0.0285714285714286,0,0,0
"D2 LEMA 23",0,0.0285714285714286,0,0,0
"D2 LEMA 24",0,0.0285714285714286,0,0,0
"D2 LEMA 25",0,0.0285714285714286,0,0,0
"D2 LEMA 26",0,0.0285714285714286,0,0,0
"D2 LEMA 27",0,0.0285714285714286,0,0,0
"D2 LEMA 28",0,0.0285714285714286,0,0,0
"D2 LEMA 29",0,0.0285714285714286,0,0,0
"D2 LEMA 3",0,0.0285714285714286,0,0,0
"D2 LEMA 30",0,0.0285714285714286,0,0,0
"D2 LEMA 31",0,0.0285714285714286,0,0,0
"D2 LEMA 32",0,0.0285714285714286,0,0,0
"D2 LEMA 33",0,0.0285714285714286,0,0,0
"D2 LEMA 34",0,0.0285714285714286,0,0,0
"D2 LEMA 35",0,0.0285714285714286,0,0,0
"D2 LEMA 4",0,0.0285714285714286,0,0,0
"D2 LEMA 5",0,0.0285714285714286,0,0,0
"D2 LEMA 6",0,0.0285714285714286,0,0,0
"D2 LEMA 7",0,0.0285714285714286,0,0,0
"D2 LEMA 8",0,0.0285714285714286,0,0,0
"D2 LEMA 9",0,0.0285714285714286,0,0,0
"D3 LEMA 1",0,0.1,0,0,0.04
"D3 LEMA 10",0,0.1,0,0,0.04
"D3 LEMA 11",0,0.1,0,0,0.04
"D3 LEMA 12",0,0.1,0,0,0.04
"D3 LEMA 13",0,0.1,0,0,0.04
"D3 LEMA 14",0,0.1,0,0,0.04
"D3 LEMA 15",0,0.1,0,0,0.04
"D3 LEMA 16",0,0.1,0,0,0.04
"D3 LEMA 17",0,0.1,0,0,0.04
"D3 LEMA 18",0,0.1,0,0,0.04
"D3 LEMA 19",0,0.1,0,0,0.04
"D3 LEMA 2",0,0.1,0,0,0.04
"D3 LEMA 20",0,0.1,0,0,0.04
"D3 LEMA 21",0,0.1,0,0,0.04
"D3 LEMA 22",0,0.1,0,0,0.04
"D3 LEMA 23",0,0.1,0,0,0.04
"D3 LEMA 24",0,0.1,0,0,0.04
"D3 LEMA 25",0,0.1,0,0,0.04
"D3 LEMA 26",0,0.1,0,0,0.04
"D3 LEMA 27",0,0.1,0,0,0.04
"D3 LEMA 28",0,0.1,0,0,0.04
"D3 LEMA 29",0,0.1,0,0,0.04
"D3 LEMA 3",0,0.1,0,0,0.04
"D3 LEMA 30",0,0.1,0,0,0.04
"D3 LEMA 31",0,0.1,0,0,0.04
"D3 LEMA 32",0,0.1,0,0,0.04
"D3 LEMA 33",0,0.1,0,0,0.04
"D3 LEMA 34",0,0.1,0,0,0.04
"D3 LEMA 35",0,0.1,0,0,0.04
"D3 LEMA 36",0,0.1,0,0,0.04
"D3 LEMA 37",0,0.1,0,0,0.04
"D3 LEMA 38",0,0.1,0,0,0.04
"D3 LEMA 39",0,0.1,0,0,0.04
"D3 LEMA 4",0,0.1,0,0,0.04
"D3 LEMA 40",0,0.1,0,0,0.04
"D3 LEMA 41",0,0.1,0,0,0.04
"D3 LEMA 42",0,0.1,0,0,0.04
"D3 LEMA 43",0,0.1,0,0,0.04
"D3 LEMA 44",0,0.1,0,0,0.04
"D3 LEMA 45",0,0.1,0,0,0.04
"D3 LEMA 46",0,0.1,0,0,0.04
"D3 LEMA 47",0,0.1,0,0,0.04
"D3 LEMA 48",0,0.1,0,0,0.04
"D3 LEMA 49",0,0.1,0,0,0.04
"D3 LEMA 5",0,0.1,0,0,0.04
"D3 LEMA 50",0,0.1,0,0,0.04
"D3 LEMA 6",0,0.1,0,0,0.04
"D3 LEMA 7",0,0.1,0,0,0.04
"D3 LEMA 8",0,0.1,0,0,0.04
"D3 LEMA 9",0,0.1,0,0,0.04
"D4 LEMA 1",0,0.025,0,0,0
"D4 LEMA 10",0,0.025,0,0,0
"D4 LEMA 11",0,0.025,0,0,0
"D4 LEMA 12",0,0.025,0,0,0
"D4 LEMA 13",0,0.025,0,0,0
"D4 LEMA 14",0,0.025,0,0,0
"D4 LEMA 15",0,0.025,0,0,0
"D4 LEMA 16",0,0.025,0,0,0
"D4 LEMA 17",0,0.025,0,0,0
"D4 LEMA 18",0,0.025,0,0,0
"D4 LEMA 19",0,0.025,0,0,0
"D4 LEMA 2",0,0.025,0,0,0
"D4 LEMA 20",0,0.025,0,0,0
"D4 LEMA 21",0,0.025,0,0,0
"D4 LEMA 22",0,0.025,0,0,0
"D4 LEMA 23",0,0.025,0,0,0
"D4 LEMA 24",0,0.025,0,0,0
"D4 LEMA 25",0,0.025,0,0,0
"D4 LEMA 26",0,0.025,0,0,0
"D4 LEMA 27",0,0.025,0,0,0
"D4 LEMA 28",0,0.025,0,0,0
"D4 LEMA 29",0,0.025,0,0,0
"D4 LEMA 3",0,0.025,0,0,0
"D4 LEMA 30",0,0.025,0,0,0
"D4 LEMA 31",0,0.025,0,0,0
"D4 LEMA 32",0,0.025,0,0,0
"D4 LEMA 33",0,0.025,0,0,0
"D4 LEMA 34",0,0.025,0,0,0
"D4 LEMA 35",0,0.025,0,0,0
"D4 LEMA 36",0,0.025,0,0,0
"D4 LEMA 37",0,0.025,0,0,0
"D4 LEMA 38",0,0.025,0,0,0
"D4 LEMA 39",0,0.025,0,0,0
"D4 LEMA 4",0,0.025,0,0,0
"D4 LEMA 40",0,0.025,0,0,0
"D4 LEMA 5",0,0.025,0,0,0
"D4 LEMA 6",0,0.025,0,0,0
"D4 LEMA 7",0,0.025,0,0,0
"D4 LEMA 8",0,0.025,0,0,0
"D4 LEMA 9",0,0.025,0,0,0
"D5 LEMA 1",0,0.2,0,0.0666666666666667,0.0666666666666667
"D5 LEMA 10",0,0.2,0,0.0666666666666667,0.0666666666666667
"D5 LEMA 11",0,0.2,0,0.0666666666666667,0.0666666666666667
"D5 LEMA 12",0,0.2,0,0.0666666666666667,0.0666666666666667
"D5 LEMA 13",0,0.2,0,0.0666666666666667,0.0666666666666667
"D5 LEMA 14",0,0.2,0,0.0666666666666667,0.0666666666666667
"D5 LEMA 15",0,0.2,0,0.0666666666666667,0.0666666666666667
"D5 LEMA 2",0,0.2,0,0.0666666666666667,0.0666666666666667
"D5 LEMA 3",0,0.2,0,0.0666666666666667,0.0666666666666667
"D5 LEMA 4",0,0.2,0,0.0666666666666667,0.0666666666666667
"D5 LEMA 5",0,0.2,0,0.0666666666666667,0.0666666666666667
"D5 LEMA 6",0,0.2,0,0.0666666666666667,0.0666666666666667
"D5 LEMA 7",0,0.2,0,0.0666666666666667,0.0666666666666667
"D5 LEMA 8",0,0.2,0,0.0666666666666667,0.0666666666666667
"D5 LEMA 9",0,0.2,0,0.0666666666666667,0.0666666666666667
"E1 LEMA 1",0,0.133333333333333,0,0,0
"E1 LEMA 10",0,0.133333333333333,0,0,0
"E1 LEMA 11",0,0.133333333333333,0,0,0
"E1 LEMA 12",0,0.133333333333333,0,0,0
"E1 LEMA 13",0,0.133333333333333,0,0,0
"E1 LEMA 14",0,0.133333333333333,0,0,0
"E1 LEMA 15",0,0.133333333333333,0,0,0
"E1 LEMA 16",0,0.133333333333333,0,0,0
"E1 LEMA 17",0,0.133333333333333,0,0,0
"E1 LEMA 18",0,0.133333333333333,0,0,0
"E1 LEMA 19",0,0.133333333333333,0,0,0
"E1 LEMA 2",0,0.133333333333333,0,0,0
"E1 LEMA 20",0,0.133333333333333,0,0,0
"E1 LEMA 21",0,0.133333333333333,0,0,0
"E1 LEMA 22",0,0.133333333333333,0,0,0
"E1 LEMA 23",0,0.133333333333333,0,0,0
"E1 LEMA 24",0,0.133333333333333,0,0,0
"E1 LEMA 25",0,0.133333333333333,0,0,0
"E1 LEMA 26",0,0.133333333333333,0,0,0
"E1 LEMA 27",0,0.133333333333333,0,0,0
"E1 LEMA 28",0,0.133333333333333,0,0,0
"E1 LEMA 29",0,0.133333333333333,0,0,0
"E1 LEMA 3",0,0.133333333333333,0,0,0
"E1 LEMA 30",0,0.133333333333333,0,0,0
"E1 LEMA 4",0,0.133333333333333,0,0,0
"E1 LEMA 5",0,0.133333333333333,0,0,0
"E1 LEMA 6",0,0.133333333333333,0,0,0
"E1 LEMA 7",0,0.133333333333333,0,0,0
"E1 LEMA 8",0,0.133333333333333,0,0,0
"E1 LEMA 9",0,0.133333333333333,0,0,0
"E2 LEMA 1",0,0.05,0,0.05,0.025
"E2 LEMA 10",0,0.05,0,0.05,0.025
"E2 LEMA 11",0,0.05,0,0.05,0.025
"E2 LEMA 12",0,0.05,0,0.05,0.025
"E2 LEMA 13",0,0.05,0,0.05,0.025
"E2 LEMA 14",0,0.05,0,0.05,0.025
"E2 LEMA 15",0,0.05,0,0.05,0.025
"E2 LEMA 16",0,0.05,0,0.05,0.025
"E2 LEMA 17",0,0.05,0,0.05,0.025
"E2 LEMA 18",0,0.05,0,0.05,0.025
"E2 LEMA 19",0,0.05,0,0.05,0.025
"E2 LEMA 2",0,0.05,0,0.05,0.025
"E2 LEMA 20",0,0.05,0,0.05,0.025
"E2 LEMA 21",0,0.05,0,0.05,0.025
"E2 LEMA 22",0,0.05,0,0.05,0.025
"E2 LEMA 23",0,0.05,0,0.05,0.025
"E2 LEMA 24",0,0.05,0,0.05,0.025
"E2 LEMA 25",0,0.05,0,0.05,0.025
"E2 LEMA 26",0,0.05,0,0.05,0.025
"E2 LEMA 27",0,0.05,0,0.05,0.025
"E2 LEMA 28",0,0.05,0,0.05,0.025
"E2 LEMA 29",0,0.05,0,0.05,0.025
"E2 LEMA 3",0,0.05,0,0.05,0.025
"E2 LEMA 30",0,0.05,0,0.05,0.025
"E2 LEMA 31",0,0.05,0,0.05,0.025
"E2 LEMA 32",0,0.05,0,0.05,0.025
"E2 LEMA 33",0,0.05,0,0.05,0.025
"E2 LEMA 34",0,0.05,0,0.05,0.025
"E2 LEMA 35",0,0.05,0,0.05,0.025
"E2 LEMA 36",0,0.05,0,0.05,0.025
"E2 LEMA 37",0,0.05,0,0.05,0.025
"E2 LEMA 38",0,0.05,0,0.05,0.025
"E2 LEMA 39",0,0.05,0,0.05,0.025
"E2 LEMA 4",0,0.05,0,0.05,0.025
"E2 LEMA 40",0,0.05,0,0.05,0.025
"E2 LEMA 5",0,0.05,0,0.05,0.025
